headline,url
Rescuers search for survivors of powerful Indonesia earthquake,https://www.bbc.com/news/articles/c3v00w5ylw9o
"Morocco detains dozens of migrants trying to cross into Ceuta, reports say",https://www.bbc.com/news/articles/ckg44x2ey1ro
Why is Australia's mushroom killer back in court this week?,https://www.bbc.com/news/videos/c62e1v8p07go
America's Douglass and Germany's Liebmann set swimming world records on same day,https://www.bbc.com/sport/swimming/articles/crk55emx3yjo
Firefighters battle wildfire tearing through Belgian nature reserve,https://www.bbc.com/news/articles/cp8eex1nmpvo
"Multiple suspects at large after five shot at Virginia State University, police say",https://www.bbc.com/news/articles/c0l5583903yo
Qatar denies capturing three Iranian pilots after downing fighter jets,https://www.bbc.com/news/articles/cj4kk8kz271o
Hawaii braces for potential first direct hit by a hurricane in 34 years,https://www.bbc.com/news/articles/crmrr7kjy9vo
"Ex-Cambridge professor Arday's death is 'tragedy on so many levels', says UK PM",https://www.bbc.com/news/articles/c9982znvyk4o
Liechtenstein changes succession rule to allow women to ascend the throne,https://www.bbc.com/news/articles/cn9nnxrxg4qo
